Country,Date,Time,Year,Site,Cluster,Plot,Latitude,Longitude,Altitude,Accuracy,Photo,SlopeDn,SlopeUp,MajLform,LformDes,PosTopoSeq,ArtSurface,VegCovLT40,PlotFlood,PlotCultMgd,Trees,Shrubs,Graminoids,Forbs,VegOther,Broadleaf,Needleleaf,Evergreen,Deciduous,WdCovRate1,WdCovRate2,WdCovRate3,WdCovRate4,HerbCovRate1,HerbCovRate2,HerbCovRate3,HerbCovRate4,HerbHeight,HerbAnnual,VegStrataDescr,SameLanduse90,LandOwnership,UseFoodBeverage,UseForage,UseTimberFuelwood,UseOther,LandUseHistory,RockCover1,RockCover2,RockCover3,RockCover4,Erosion1,Erosion2,Erosion3,Erosion4,SoilConservation,SWCStructures,SWCDescr,AugDepth1,AugDepth2,AugDepth3,AugDepth4,ShSuPlDe1,ShSuPlDe2,ShSuPlDe3,ShSuPlDe4,TrSuPlDe1,TrSuPlDe2,TrSuPlDe3,TrSuPlDe4,VegStructure,VegStructureOtherDescr,ImpactTreeCutting,ImpactAgric,ImpactGrazing,ImpactFire,ImpactUrban,ImpactIndustry,ImpactErosion,ImpactAlienVeg,ImpactCollecting,ImpactOther,ImpactOtherDescr,Notes,KEY,notes1,notes2,dom_landuse,other_landuse,rangel_data
Eswatini,"Sep 30, 2020",5:34:00 AM,2020,Hosea,1,10,-27.1801,31.447,766.6,5,media/1601462082715.jpg,12,2,sloping,medium_gradient_hill,midslope,,no,no,yes,yes,no,yes,yes,,yes,no,yes,no,0,1,0,0,1,1,3,1,03to08,yes,The plot has grasses averaging from 0.3-0.8m along the contours. It has 1 tree at subplot 2 and has fallen maize stalks in between the contours,yes,communal,yes,yes,no,,It has been a cropland for over 30 years. Inorganic fertilizer is used. Organic is not used. Fallowing is not practised.,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,struc,20,25,18,20,0,0,0,0,1,0,0,0,cropland,,0,3,1,0,0,0,1,1,0,0,,,HKMLZ5A6N9DKI0NS2AJE6MTXS,Cm:0-20(20),,annual_crop,,no
Eswatini,"Oct 6, 2020",4:52:00 AM,2020,Hosea,1,11,-27.1779,31.448,783.3,5,media/1601977984397.jpg,8,4,sloping,mededium_gradient_mountain,midslope,,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,2,2,3,2,5,5,5,5,03to08,yes,Plot is dominated by guava shrubs.,yes,communal,no,yes,no,no,Virgin land.,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,0,none,40,45,50,50,4,3,2,3,0,0,0,0,shrubland,,0,0,1,0,0,0,1,1,0,0,,,uuid:b7f32635-af9b-43b6-a8be-4d434676fcb6,CM=35,,other,Shrubland,no
Eswatini,"Oct 6, 2020",5:12:00 AM,2020,Hosea,1,15,-27.1802,31.449,789.6,5,media/1601979197894.jpg,9,5,sloping,medium_gradient_hill,midslope,,no,no,no,no,no,yes,yes,no,no,no,no,yes,2,2,2,2,5,5,5,5,03to08,yes,Few woody species are dotted all over the plot.,yes,communal,no,yes,no,no,Virgin land.,5-40,5-40,5-40,5-40,none,sheet,sheet,none,,0,none,35,40,40,37,0,0,0,0,0,0,0,0,grassland,,0,0,1,0,0,0,1,1,0,0,,,uuid:a71e3a04-eb2b-4858-a67a-0f24247aee3d,CM =42,,pasture_rangeland,,yes
Eswatini,"Sep 30, 2020",5:46:00 AM,2020,Hosea,1,3,-27.1821,31.4479,802.7,5,media/1601462843330.jpg,14,3,sloping,medium_gradient_hill,midslope,,no,no,yes,yes,no,yes,yes,,no,yes,no,yes,2,2,2,2,3,3,2,3,03to08,yes,"The plot consist of maize stalks and other herbaceous plants, few grass scattered over the plot. There are two trees in subplot 3 and 4",yes,communal,yes,yes,no,,"It has been a cropland for the past 30 years. Maize is grown, organic fertilizer is applied and inter cropping is done (tintsanga and maize)",under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,veg struc,20,20,20,20,0,0,0,0,0,0,1,1,cropland,,0,2,1,0,0,0,1,0,0,,,,ME82VF89KQBTLKNDYO7YRHIK7,CM: 0-20(20),,annual_crop,,no
Eswatini,"Sep 30, 2020",5:16:00 AM,2020,Hosea,1,4,-27.1806,31.445,769.2,4,media/1601461035486.jpg,9,4,sloping,medium_gradient_hill,midslope,,no,no,yes,no,no,yes,yes,,yes,no,no,yes,0,0,1,1,2,1,1,2,03to08,yes,The plot is having herbaceous plants scattered all over the plot. There are also grasses and also dried maize stalks lying on the ground,yes,communal,yes,yes,no,,This a maize cropland. Inorganic fertilizer is applied and inter cropping is practised (maize and peanuts). No pesticides applied,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,struc veg,27,20,19,17,0,0,0,0,0,0,0,0,cropland,,0,1,0,0,0,0,1,0,0,,,,6RPMAZHTV3YFH9WLHQ116TIXV,CM:20-50(25),,annual_crop,,no
Eswatini,"Oct 6, 2020",5:24:00 AM,2020,Hosea,1,5,-27.1811,31.4507,845.2,5,media/1601979904644.jpg,12,4,steep,high_gradient_mountain,midslope,,no,no,no,no,no,no,no,no,no,no,yes,yes,1,1,1,1,5,5,5,5,03to08,yes,A few shrublets can be formed in the plot.,yes,communal,no,yes,no,no,Virgin land.,under5,under5,under5,under5,sheet,none,none,none,,0,none,20,15,15,17,0,0,0,0,0,0,0,0,grassland,,0,0,2,0,0,0,1,0,0,0,,,uuid:c90bc7e8-8566-4a0e-897a-1f1bafb00101,CM=20,,pasture_rangeland,,yes
Eswatini,"Oct 6, 2020",5:31:00 AM,2020,Hosea,1,6,-27.1825,31.4505,867,5,media/1601980308424.jpg,12,8,steep,medium_gradient_hill,midslope,,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,1,2,2,1,1,2,2,1,003to03,yes,Plot is found in a donga with low lying grasses.,yes,communal,no,yes,no,no,Virgin land.,5-40,5-40,5-40,5-40,gully,rill,gully,rill,,0,none,40,42,38,45,0,0,0,0,0,0,0,0,other,Donga,0,0,2,0,0,0,3,1,0,0,,,uuid:2dca7cea-53bd-48b8-aca8-07c908ef9be7,CM =50,,other,Donga,no
Eswatini,"Sep 30, 2020",4:55:00 AM,2020,Hosea,1,8,-27.1797,31.4458,761.7,5,media/1601459783005.jpg,11,1,sloping,medium_gradient_hill,midslope,,no,no,yes,yes,no,yes,yes,,yes,no,no,no,1,1,2,2,3,1,3,3,03to30,yes,This plot is a cropland where maize has recently been harvested. There is a tree in subplot 1 and 2,yes,communal,yes,yes,no,,This plot has been cultivated for maize ever since 1990. Inorganic fertilizer is used.,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,1,struc,20,23,27,23,0,0,0,0,1,1,0,1,cropland,,1,2,1,0,1,0,0,1,0,,,,DS76G6DCGOFNBRVKSUY7G09SI,CM:20-50 (25),,annual_crop,,no
Eswatini,"Oct 6, 2020",5:35:00 AM,2020,Hosea,1,9,-27.1822,31.4497,834.4,6,media/1601980526784.jpg,15,9,steep,high_gradient_hill,midslope,,no,no,no,no,no,yes,yes,no,no,no,yes,yes,1,1,1,1,5,5,5,5,03to08,yes,Few woody species are dotted all over the plot.,yes,communal,no,yes,no,no,Virgin land.,5-40,5-40,5-40,5-40,none,none,sheet,none,,0,none,20,18,55,15,0,0,0,0,0,0,0,0,grassland,,0,0,2,0,0,0,1,1,0,0,,,uuid:369a526a-f77e-4b16-8132-ec57e073ea53,CM=20,,pasture_rangeland,,yes
Eswatini,"Sep 14, 2020",2:57:00 AM,2020,Hosea,10,11,-27.1762,31.5018,571.7,6,media/1600070310019.jpg,11,7,sloping,low_gradient_mountain,midslope,,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,5,5,5,5,5,5,5,5,03to08,yes,Theres a mixture of Dycrotychs and acacia trees which have interlocking crowns.,yes,communal,no,no,no,no,Virgin land,over40,over40,over40,over40,sheet,sheet,sheet,sheet,,0,none,20,20,18,15,0,0,0,0,5,3,4,4,woodland,,0,0,0,0,0,0,1,1,0,0,,,uuid:321a248f-2097-46d9-b6ea-1884ffa1b162,CM=20,,other,Woodland,no
Eswatini,"Sep 14, 2020",2:48:00 AM,2020,Hosea,10,12,-27.1745,31.5012,589,8,media/1600069752104.jpg,8,4,sloping,low_gradient_mountain,midslope,,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,4,4,4,4,4,4,4,4,03to30,yes,Trees and shrubs are clustered together,yes,communal,no,no,no,no,Virgin land,over40,over40,over40,over40,sheet,sheet,sheet,sheet,,0,none,15,18,18,17,3,3,3,4,4,5,4,4,bushland,,0,0,1,0,0,0,2,1,0,0,,,uuid:51fd6355-7253-4366-a7ed-687a115bf837,CM=20,,other,Bushland,no
