SSN,Country,Site,Cluster,Plot,DepthTop,DepthBottom,Depthcode,Year,SOC,TN,pH,ExBas,ExCa,ExMg,ExK,ExNa,Sand,Clay
wa018925,Eswatini,mafutseni,1,15,0,20,Topsoil,2018,5.0053,0.3933,6.239,2.6547,1.6844,0.6965,0.2069,0.0765,74.64,14.1532
wa018926,Eswatini,mafutseni,5,4,0,20,Topsoil,2018,18.6523,1.4951,6.8677,19.8375,13.3762,4.6992,0.6127,0.2669,38.8403,35.9466
wa018927,Eswatini,mafutseni,5,12,0,20,Topsoil,2018,5.554,0.5759,8.3253,26.8884,20.92,4.8954,0.5962,0.9797,38.1578,42.535
wa018928,Eswatini,mafutseni,7,9,0,20,Topsoil,2018,26.2557,1.876,6.9631,31.4872,21.4788,8.6264,1.0533,0.5816,13.5278,60.6491
wa018929,Eswatini,mafutseni,7,11,0,20,Topsoil,2018,19.5965,1.7942,6.5239,22.1735,14.1711,6.8836,0.6583,0.2496,24.1132,53.2425
wa018930,Eswatini,mafutseni,7,12,0,20,Topsoil,2018,15.6718,1.3963,6.7127,28.3798,18.3362,9.1037,1.0221,0.9173,17.0901,59.2583
wa018931,Eswatini,mafutseni,7,13,0,20,Topsoil,2018,27.6952,2.0441,6.3962,28.5745,18.8072,8.1544,0.8724,0.4124,12.7502,62.4213
wa018932,Eswatini,mafutseni,7,15,0,20,Topsoil,2018,21.0507,1.871,6.2607,22.9409,14.8122,7.4511,0.91,0.3666,17.9262,59.7718
wa018933,Eswatini,mafutseni,10,1,0,20,Topsoil,2018,5.785,0.4475,5.8287,2.3498,1.4069,0.6453,0.1862,0.0776,75.1974,12.4573
wa018934,Eswatini,mafutseni,10,9,20,50,Subsoil,2018,27.4769,2.0575,7.9341,58.5495,41.4405,15.4466,1.6078,1.672,16.7984,60.8871
wa018935,Eswatini,mafutseni,13,6,20,50,Subsoil,2018,2.68,0.2605,7.0028,5.0093,3.3584,1.5825,0.2335,0.4137,77.4826,14.7198
wa018936,Eswatini,mafutseni,13,13,20,50,Subsoil,2018,5.1346,0.4212,6.5036,4.7731,3.0429,1.406,0.257,0.167,67.5496,18.091
wa018937,Eswatini,mafutseni,13,14,0,20,Topsoil,2018,9.6668,0.9189,6.0976,6.9314,4.3116,1.9535,0.4115,0.1737,59.4754,21.7089
wa018938,Eswatini,mafutseni,13,15,0,20,Topsoil,2018,13.0677,1.2597,6.7366,17.4798,11.2998,5.251,0.4293,0.197,45.8633,36.6073
wa018939,Eswatini,mafutseni,13,15,20,50,Subsoil,2018,10.8191,0.9466,6.9283,15.2081,10.0776,4.4156,0.3142,0.2475,45.5975,35.446
